대분류,기능명,기능 설명,접근 경로·UI 위치,연동·데이터,발표 활용 팁
인증·계정,로그인,이메일·비밀번호로 JWT 발급 후 전역 인증,/login,POST /auth/login,시연 계정으로 즉시 진입 흐름 보여주기
인증·계정,회원가입,신규 사용자 등록 후 자동 로그인,/signup,POST /auth/signup,보안·역할 확장 시 백엔드와 연결 설명
인증·계정,세션 복원,저장된 토큰으로 사용자 정보 로드,앱 최초 로드,GET /auth/me,새로고침 후에도 로그인 유지 강조
인증·계정,로그아웃,클라이언트 토큰 제거·상태 초기화,상단바 로그아웃,로컬 스토리지,운용 종료 절차로 한 줄 설명
앱 공통,제어와드·사이드바,브랜드·실시간 전장판 진입·사이드바 접기/펼치기,전 페이지 공통 레이아웃,—,발표 시 항상 동일 셸로 집중도 유지
앱 공통,기본 라우팅,미등록 경로는 로그인 또는 홈으로 리다이렉트,*,React Router,오류 시 UX 안정성 언급
실시간 전장판,MapLibre 전장 지도,위성 래스터·베이스 프리셋·한반도/전역 시야 전환,경로 / 좌측 지도 캔버스,Google 타일·MapLibre GL,대형 디스플레이에서 줌·이동 시연
실시간 전장판,전역 시야·작전권역·SAR 탐지 전개,시야 복귀·한반도 AOR·SAR 단계 진입 CTA,시나리오 사이드바 상단 버튼,클라이언트 시뮬 단계,단계별 스토리텔링 순서 고정
실시간 전장판,키보드 단축키,Alt+1/2/3·표적·일시정지·도움말 등 전장 전용 핫키,전장 페이지 전역 keydown,—,Ctrl+K S로 표 열어 체크리스트로 활용
실시간 전장판,작전 지역 이름 검색,고정 카탈로그 기준 fitBounds·flyTo,지도 우측 검색 패널,클라이언트 Geo 카탈로그,한반도·MDL·도시명 등 데모 검색어 준비
실시간 전장판,시나리오 단계 게이트,IDLE에서 권역 확정 후 센서 단계 진행,우측 단계 패널·지도 클릭,phase 상태 머신,SAR→UAV→드론→FMCW 파이프라인을 슬라이드와 맞춤
실시간 전장판,시뮬 배속·완료·재시작,배속 순환 또는 시나리오 완료/다시 시작 CTA,시나리오 사이드바,클라이언트,시간 압축 시연에 적합
실시간 전장판,타임라인 스냅샷·일시정지,SAR 이후 상태 스냅샷·되돌리기·재생 슬라이더,타임라인·재생 영역,클라이언트 스냅샷,되돌리기로 의사결정 복기 시연
실시간 전장판,DB 아군 부대 표시,사단·연대 등 제대별 마커·범례,지도 아군 레이어,GET /map/units,실제 DB 연동 C2 자산 표출 강조
실시간 전장판,DB 적 침투 표적,침투 경로·표적 수·지도 마커,지도 적 레이어,GET /map/infiltrations,침투 시나리오와 연계 설명
실시간 전장판,적 육로 행군 경로,OSRM driving 기반 폴리라인·폴백 직선,지도 적 궤적,GET /map/route/driving,백엔드 경로엔진·지오펜스 클램프 언급
실시간 전장판,궤도 SAR 시뮬,위성 궤적·Spotlight/ScanSAR·한반도 뷰 버튼,궤도 SAR 상세 패널,클라이언트 궤도 모델,광역 vs 고해상 모드 대비
실시간 전장판,SAR·GRD 오버레이,관측구역·이동검출(GRD) 면·스포트라이트,지도 오버레이·모달,GeoJSON·시뮬 데이터,탐지→확인 전 단계 시각화
실시간 전장판,센서 단계 버튼,SAR·UAV·드론·FMCW 시뮬 진행·도움말 모달,좌측 센서 버튼 열,단계별 게이트,각 센서 역할을 한 줄씩 매핑
실시간 전장판,UAV·드론 자산 스트림,자산별 영상·스트림 모달,센서·자산 UI,데모 미디어·모달,EO/IR 현장감 자료 활용
실시간 전장판,UAV 발주·디스패치,표적 기준 UAV 출동 UI,지도·모달,클라이언트 시뮬,즉시 대응 워크플로 시연
실시간 전장판,드론 분할 뷰·EO/IR,드론 가동 시 영상 패널·지도 분할,드론 시나리오 단계,데모 영상,멀티 도메인(공·지) 협업 장면
실시간 전장판,FMCW 서비스 독,BEV·위험분석 단계 연동 UI,FMCW 분석 단계 이후,클라이언트 번들,근접 레이더·위험구역 내러티브
실시간 전장판,지상감시 레이더·위험구역,고정 레이더 사이트·섹터·FMCW 위험 윤곽,지도 레이어·범례,스냅샷 기반 표시,라이브 스냅샷과 결합 가능성 설명
실시간 전장판,레이더 스냅샷,FMCW 근거리 스냅샷·차트 입력,레이더·파이프라인 연계,GET /map/radar/snapshot?source=live,백엔드 라이브 데이터 파이프 강조
실시간 전장판,위험 후보·트랙 오버레이,Risk 후보 선택·GeoJSON 표시,RiskOverlayLayer,클라이언트·GeoJSON,의사결정 보조 레이어로 소개
실시간 전장판,전술 추천·의사결정,시나리오 키 기반 추천·결정 API 호출,전술 시뮬 구간(연대 시나리오 등),GET /map/tactics/recommendations POST /map/tactics/decision,AI·규칙 기반 보조 의사결정 훅
실시간 전장판,표적 일람표,적·아군·자산 표 형태 요약,표적 일람표 버튼·모달,DB 조회 결과,브리핑용 표준 뷰로 활용
실시간 전장판,표적 다중 선택·전송,적 표적 체크·수신 아군 부대 선택·전송,일람표 적 탭,클라이언트·(추가 API 연동 여지),C2 전파 흐름 시연
실시간 전장판,부대별 최근 전파 로그,우측 패널 수신 메시지 목록,자산 상세·도크,클라이언트 상태,전송 결과 확인 클로징
실시간 전장판,아군 위치·채팅 도크,부대 위치 옆 채팅·메시지 송신,표적 일람·도크,클라이언트,협업·하위부대 지시 시나리오
실시간 전장판,아군 부대 GPS 반영,브라우저 Geolocation으로 대표부대 기준점 이동,아군 부대 위치 버튼,브라우저 API,현장 운용 시나리오 연출
실시간 전장판,지도 커서·MGRS 읽기,마우스 위치 좌표·MGRS 문자열,지도 하단 리드아웃,mgrsUtil,정밀 화력·유도 연계 포인트
실시간 전장판,MDL·지오 참조 레이어,휴전선 등 참조 GeoJSON,지도 레이어,public GeoJSON,정치·지리 맥락 설명용
실시간 전장판,시나리오 완료 요약,단계별 결과·위험구역·전술 요약 모달,완료 단계 자동·수동,클라이언트 리포트,발표 마무리 슬라이드 대체
실시간 전장판,자산 카테고리·상세 패널,UAV·레이더 등 자산 필터·속성,우측 자산 패널,GET 자산 목록(시드/DB),장비 전력 테이블 브리핑
연대 시나리오 재생,다단계 시나리오 플로우,0요약~5통합 상황 URL 단계 전환,/scenario-playback?scenario=1~5,쿼리 파라미터,스토리 진행을 URL로 재현 가능
연대 시나리오 재생,1단계 공중 SAR,Airborne SAR 페이지 임베드,시나리오 1,클라이언트,광역 탐지 오프닝
연대 시나리오 재생,2단계 UAV SAR,UAV SAR 페이지 임베드,시나리오 2,클라이언트,추적·EO/IR 인계
연대 시나리오 재생,3단계 FMCW 인트로,FMCW 소개·라이브 패널,시나리오 3,/map/radar/snapshot,근접 센서 전환
연대 시나리오 재생,4단계 드론 EO/IR,임베드 패널·정찰 영상,시나리오 4,데모 영상,정밀 식별 클라이맥스
연대 시나리오 재생,5단계 통합 상황,카카오 메인+인셋·40km/15km·시뮬 타임라인,시나리오 5,지도+시뮬,C2 통합 뷰 하이라이트
전차 식별·추적,YOLO 이미지 추론,업로드 이미지 검출·주석 미리보기,/identification,POST /ai/yolo/image,AI 파이프 단독 시연
전차 식별·추적,YOLO 동영상 판별,업로드 영상 분석 결과,/identification,POST /ai/yolo/video,영상 기반 위협 평가 연출
센서 파이프라인,4단계 기술·시나리오 개요,SAR→UAV→FMCW→드론 흐름 카드,/sensor-pipeline,클라이언트,아키텍처 한 장 요약
센서 파이프라인,단계 레일·설명,단계별 기술/웹 상세·메타 정보,/sensor-pipeline,SENSOR_PIPELINE_STEPS,단계별로 확대 설명
센서 파이프라인,자동 순환,4.5초 간격 자동 단계 전환 토글,/sensor-pipeline 상단,—,무인 시연 모드
센서 파이프라인,FMCW 라이브 패널,fmcw 단계에서 스냅샷 연동 패널,/sensor-pipeline?step=fmcw,GET /map/radar/snapshot,백엔드 연동 구간 명시
센서 파이프라인,드론 데모 영상,파이프라인 내 샘플 EO/IR 루프,/sensor-pipeline?step=drone,정적 미디어,네트워크 없이 안정 시연
카메라 모니터,장치 열거·선택,enumerateDevices로 카메라 목록,/monitor,브라우저 MediaDevices,현장 카메라 피드 연결
카메라 모니터,실시간 미리보기,getUserMedia 스트림 재생,/monitor,브라우저 API,저지연 모니터링 데모
드론 EO/IR 식별,전용 페이지,EO vs IR 설명·데이터량 표·데모 영상,/drone-eo-ir,SensorStagePipelineFrame,근접 식별 전용 내러티브
드론 EO/IR 식별,센서 파이프라인 교차 링크,동일 계열 단계로 이동,본문 링크,/sensor-pipeline?step=drone,제품 일관성 강조
백엔드·인프라,REST API 베이스,Vite 프록시·환경변수 기준 API URL,frontend 설정,getApiBaseUrl(),배포·데모 환경 분리 설명
데이터 모델,부대 제대 구분,소대~군단·특수임무부대 등 레벨,지도·DB 시드,Prisma·시드,조직 구조 반영
보안,보호 라우트,미로그인 시 로그인으로 리다이렉트,RequireAuth,—,운용 시스템 기본 보안
